temperature,rainfall,humidity
12.77,228.95,34.48
40.49,288.76,31.66
32.6,149.15,14.96
26.0,74.51,75.2
40.32,84.89,35.19
34.67,28.92,64.94
19.27,197.22,35.78
11.59,254.81,82.87
33.54,109.73,68.57
19.61,190.53,27.69
42.18,185.53,64.32
18.18,278.16,64.33
19.58,125.72,64.35
13.95,216.41,91.0
23.17,213.94,66.0
12.47,26.8,21.32
11.21,220.62,42.73
20.25,32.99,74.2
13.72,86.52,72.77
11.72,219.85,76.91
39.3,13.47,62.21
12.94,30.69,48.35
30.73,110.95,25.02
28.32,210.74,93.58
38.17,195.59,61.94
25.37,63.34,16.18
42.98,105.15,99.12
16.38,165.32,21.43
13.94,32.08,18.46
24.97,181.58,59.55
35.77,129.29,34.81
10.65,168.81,28.41
39.07,105.13,15.28
10.94,211.65,33.49
29.33,29.95,77.28
20.92,241.4,83.99
28.66,95.08,29.06
20.62,149.66,91.78
34.97,190.8,84.53
26.06,128.42,56.13
32.43,163.37,12.92
17.27,77.66,59.38
34.37,159.15,79.7
20.68,183.55,31.3
44.25,103.69,75.14
23.7,56.07,94.01
14.16,213.26,26.17
34.34,82.69,75.51
10.61,235.87,35.91
36.11,262.98,65.8
23.33,112.47,96.02
30.58,20.88,65.18
30.11,116.28,81.07
23.39,50.06,22.21
19.81,294.8,76.81
20.7,229.72,19.92
37.74,224.43,20.87
28.25,203.89,48.68
14.75,153.17,72.22
22.59,28.69,88.98
31.66,257.53,95.2
15.89,61.08,37.37
18.15,112.45,88.42
17.76,174.62,21.09
28.2,66.03,50.34
13.2,119.72,84.35
37.37,56.85,72.91
22.16,103.28,32.58
16.31,233.53,10.3
33.49,73.1,48.58
28.32,182.95,76.44
11.05,103.26,64.94
14.27,14.57,42.63
16.9,61.37,96.14
26.7,192.7,75.42
29.17,283.28,36.42
10.82,256.85,98.82
20.85,199.52,15.07
42.88,180.15,70.12
25.78,201.44,95.39
22.71,66.7,30.03
36.38,2.05,66.73
21.67,220.93,36.38
40.98,271.53,66.26
19.37,180.6,74.76
39.72,195.53,23.37
31.8,219.17,54.93
22.74,246.14,36.35
31.6,278.16,54.01
34.0,61.58,38.01
44.38,126.77,72.33
34.89,20.19,51.12
22.81,189.21,19.95
25.86,284.21,55.86
37.78,273.64,69.35
29.46,240.61,54.29
12.04,270.42,53.13
35.05,58.3,98.1
23.61,81.83,41.58
10.68,149.78,93.71
18.38,270.38,50.65
40.3,177.61,64.45
10.54,119.1,23.47
11.9,70.87,67.1
35.28,237.62,66.55
21.77,122.04,70.02
18.89,226.36,39.65
39.06,198.14,16.78
35.25,44.48,51.76
17.89,10.85,32.01
26.93,196.5,41.75
43.56,191.66,30.95
34.94,260.5,33.75
23.17,186.58,57.82
39.27,42.1,11.52
35.18,42.78,68.82
33.16,230.42,35.76
32.99,273.24,34.42
24.21,214.76,60.66
13.65,36.58,31.73
40.44,200.01,27.81
25.29,35.82,44.09
26.11,260.18,63.72
12.98,77.61,77.09
13.3,293.36,75.86
26.9,46.67,98.86
29.28,78.07,96.83
38.07,90.32,21.02
24.43,294.08,64.24
24.58,118.48,76.92
41.21,75.75,64.19
18.02,232.16,84.67
10.22,273.95,95.93
36.62,249.6,73.39
17.88,274.52,98.44
29.41,202.17,16.83
38.4,109.61,91.26
30.34,44.42,94.75
42.65,14.69,78.39
22.38,287.48,97.74
15.27,117.6,55.68
22.85,0.82,39.25
27.81,170.42,73.72
42.8,261.61,17.2
42.31,119.08,55.26
13.99,81.09,41.59
44.74,237.26,76.94
21.36,77.04,72.15
27.02,149.51,16.76
32.7,17.85,88.53
30.7,90.32,23.81
31.17,31.3,46.58
11.0,121.48,52.63
28.41,71.88,86.37
25.3,142.71,77.75
23.18,10.91,30.05
17.76,143.44,39.05
31.51,71.28,17.33
20.29,146.11,29.77
11.64,121.62,81.71
16.12,254.71,53.01
18.89,87.29,42.19
35.77,213.95,34.75
35.78,150.66,25.78
10.82,232.42,63.59
17.37,278.83,28.03
38.43,51.48,88.43
40.11,213.56,47.51
12.74,164.05,69.18
22.43,261.15,34.14
18.61,273.71,56.72
35.04,198.34,23.41
25.77,101.62,95.03
19.71,123.39,58.34
28.95,149.06,58.49
21.11,15.75,81.38
18.14,39.03,64.25
30.37,11.55,23.03
35.58,274.57,15.3
13.57,54.45,86.0
28.43,85.06,87.85
21.26,273.64,14.34
33.79,264.79,25.7
32.55,196.5,37.49
36.47,263.21,85.92
24.21,282.14,24.21
38.17,227.39,25.35
13.23,121.83,65.14
37.07,235.89,55.06
38.32,181.38,86.33
32.91,58.67,89.53
39.51,150.72,36.07
33.36,126.06,64.23
22.07,260.43,69.39
38.95,67.31,49.12
12.97,192.44,41.3
33.02,54.45,42.78
31.28,250.29,24.58
13.52,211.84,21.56
25.99,146.08,15.28
16.6,36.19,76.33
20.96,231.13,86.04
44.56,44.51,30.59
27.62,55.74,41.2
37.89,134.58,16.55
17.69,108.86,26.03
41.02,124.42,85.55
42.99,202.16,84.16
13.79,96.4,23.6
35.87,63.23,72.12
21.83,179.13,93.8
26.78,31.79,86.15
37.02,249.09,38.94
12.92,57.98,34.97
40.62,56.09,29.77
18.55,147.51,60.66
11.83,12.26,80.99
24.1,291.06,58.65
22.0,296.2,21.92
25.48,77.46,77.26
31.12,65.13,69.99
18.06,5.25,62.87
29.68,181.25,90.1
35.81,286.96,76.27
11.85,184.76,43.51
36.94,242.64,62.6
35.22,9.99,24.71
11.34,1.32,89.06
38.08,290.15,16.9
12.01,3.18,96.12
26.58,209.53,26.87
22.64,14.61,10.89
40.62,277.72,87.09
39.03,194.5,48.03
37.73,149.15,77.69
24.19,281.33,26.14
14.01,259.11,52.39
14.55,190.93,64.17
40.5,185.86,91.1
12.35,252.57,52.3
16.73,41.86,64.53
18.54,219.8,95.76
11.24,93.35,50.58
27.94,30.48,88.04
26.83,90.54,67.77
37.56,247.82,31.23
44.36,256.19,84.52
10.7,92.8,91.18
28.31,132.06,72.31
10.44,50.39,20.42
40.97,142.0,95.97
17.98,215.87,65.18
15.03,263.02,96.91
30.3,151.82,44.96
20.62,2.15,59.1
26.74,91.97,69.32
21.14,221.46,54.94
25.81,103.24,50.53
14.47,57.44,44.2
13.4,233.61,61.97
17.58,35.17,63.14
40.51,278.61,11.58
38.22,187.48,85.86
19.9,51.2,60.32
41.92,117.07,61.56
27.24,243.64,50.58
12.82,163.59,47.32
13.59,108.52,94.36
37.23,224.63,42.26
24.76,66.52,82.98
13.18,108.47,97.49
34.91,92.3,58.52
31.35,265.53,16.72
10.31,279.18,75.15
28.16,217.59,94.56
10.86,174.71,20.86
36.0,24.1,63.34
23.22,195.45,80.25
43.36,10.29,57.51
37.51,295.41,50.22
27.02,276.01,65.73
10.79,5.5,70.06
11.52,267.14,30.35
41.84,286.79,29.41
26.95,134.99,27.86
26.09,276.13,36.73
25.26,282.17,87.26
43.41,156.39,77.57
29.47,139.81,42.77
35.39,152.32,99.28
31.15,93.29,32.15
41.54,24.83,11.3
38.38,5.07,28.96
13.28,89.21,35.82
13.6,131.15,20.83
21.94,30.56,10.63
39.28,237.88,29.78
14.13,255.1,10.75
31.51,39.26,58.99
30.96,79.33,57.49
31.94,252.43,69.61
37.87,53.88,14.34
13.72,23.84,52.95
39.38,244.12,77.27
17.96,60.39,98.82
18.51,161.41,58.51
39.25,285.37,30.72
24.48,43.35,45.36
13.78,80.14,11.71
40.2,233.46,56.13
29.63,53.38,89.6
10.06,161.66,69.79
38.53,189.34,62.83
24.37,210.48,45.4
43.83,252.7,21.42
43.52,238.04,82.5
12.82,142.45,49.71
39.95,54.15,15.08
34.78,0.1,87.32
30.83,71.66,85.04
25.06,88.38,59.12
42.27,170.49,78.8
18.09,99.87,67.13
30.74,175.31,39.01
18.53,105.94,20.1
15.57,148.89,33.36
16.34,222.6,90.13
37.33,59.47,43.17
26.88,134.03,70.19
10.72,252.28,95.95
25.87,51.92,37.5
14.32,236.78,87.28
43.51,216.56,18.26
18.51,292.54,14.89
24.71,57.4,94.23
12.34,46.37,12.06
15.13,211.53,60.69
24.67,203.3,14.2
30.43,255.17,99.55
17.94,41.41,30.12
16.19,243.35,21.7
34.54,293.73,88.11
41.07,104.27,33.07
11.73,111.01,40.39
23.52,55.18,46.58
40.13,167.06,28.17
32.9,54.16,70.53
24.56,265.58,59.39
39.38,285.74,73.12
24.07,15.69,98.03
34.4,135.63,79.8
33.3,144.9,41.93
26.71,1.17,67.41
15.61,33.3,36.04
24.81,293.62,17.05
41.64,244.13,11.37
16.75,12.95,39.77
42.74,224.52,10.98
41.24,269.4,23.46
43.28,290.74,59.73
35.25,57.55,49.37
13.87,203.19,30.61
38.55,274.43,62.54
23.84,100.56,73.16
42.61,196.76,36.37
35.37,168.15,89.58
30.27,79.97,97.37
29.59,39.93,21.89
26.18,91.27,24.57
40.57,270.92,55.04
36.78,15.85,81.79
29.65,89.23,12.43
13.05,35.19,16.62
20.46,211.04,96.8
40.44,86.96,64.78
19.09,8.96,92.86
27.01,69.23,43.21
26.77,196.97,14.97
41.58,288.83,84.33
21.49,43.44,13.17
30.81,210.7,84.98
14.23,12.59,76.43
28.79,215.2,98.42
37.96,98.37,71.73
21.24,281.03,57.23
21.89,127.7,91.03
25.7,126.7,23.95
44.85,200.86,92.08
41.72,20.66,92.79
27.07,145.86,23.56
16.12,249.24,78.56
20.9,179.43,93.18
20.54,60.01,47.59
21.24,119.21,74.22
19.41,53.08,79.93
15.33,168.82,97.6
27.18,243.44,16.5
33.11,6.83,25.51
37.78,208.05,89.76
38.2,239.92,24.75
31.28,144.55,96.67
41.88,146.14,58.81
14.11,254.59,51.01
19.57,63.62,47.41
36.07,63.75,43.94
11.2,152.7,45.32
27.5,54.66,25.83
41.5,172.61,65.44
39.23,59.92,76.76
15.21,105.66,82.82
32.52,285.59,10.17
36.15,35.78,37.11
13.71,167.7,77.9
36.35,179.18,92.06
15.32,169.36,38.81
37.11,170.24,52.28
32.2,222.86,60.1
17.98,59.94,86.88
17.06,94.8,54.02
29.66,135.84,44.25
27.73,37.41,15.93
18.3,125.65,99.05
14.95,165.92,77.59
35.4,40.34,57.7
42.39,80.74,65.69
22.1,269.19,30.05
43.72,67.83,37.07
15.36,38.18,48.93
41.92,47.79,43.02
25.62,133.36,35.4
12.83,87.16,72.52
40.87,293.28,55.59
22.41,133.3,39.6
24.97,79.16,74.8
25.97,50.45,23.74
19.51,184.92,76.6
13.43,85.35,39.62
35.45,179.09,98.94
36.84,235.37,17.06
44.4,201.55,54.52
15.34,31.26,45.11
31.37,131.72,52.56
32.98,284.72,72.68
27.04,229.6,45.41
10.94,192.69,96.73
35.01,208.38,42.34
21.74,22.21,14.44
12.13,142.01,47.11
34.01,232.56,71.05
37.92,173.4,81.64
40.83,134.69,78.27
21.57,223.05,71.57
27.98,218.18,57.55
29.93,264.29,87.79
24.11,92.48,42.24
18.45,23.65,63.48
16.93,5.5,49.89
31.99,96.71,39.01
23.47,61.68,83.32
29.78,5.87,77.51
39.37,262.2,57.59
21.88,27.11,68.23
23.38,9.5,66.62
24.39,234.22,78.2
34.74,41.2,96.51
10.23,224.96,25.07
39.62,129.36,27.77
36.12,246.28,50.3
39.02,125.75,82.95
27.59,173.06,34.51
38.67,121.61,57.39
12.94,2.15,73.43
18.24,82.71,54.63
15.02,139.74,12.51
19.25,261.57,16.5
43.46,137.24,32.73
26.23,256.04,92.48
24.7,101.41,27.09
32.3,293.74,74.2
15.84,61.66,92.66
29.46,111.43,66.27
34.14,171.29,54.07
43.03,238.42,21.79
42.17,122.59,72.33
31.65,108.11,28.48
18.51,92.14,28.7
17.41,134.74,94.96
