amount,duration,rate,downpayment 
31643,60,0.08,79996
89632,24,0.1,21333
68485,24,0.12,84783
49957,24,0.1,11383 
71223,12,0.08,80415
79158,12,0.12,83900 
82408,24,0.1,31401 
60913,24,0.08,59433
79970,60,0.1,39193 
43003,24,0.12,34317 
71931,36,0.1,81747
12778,36,0.12,12407 
52362,36,0.08,15660 
22268,60,0.08,90765
63163,36,0.1,19258 
28768,48,0.08,53983 
56921,36,0.1,16987
56063,24,0.12,89381 
87316,12,0.12,53814 
99879,48,0.12,52122
61458,12,0.08,75735 
60504,48,0.1,94904 
36315,12,0.1,11344
11041,12,0.1,71535 
92557,24,0.1,71186 
61319,24,0.1,92448
98498,24,0.1,71134 
65345,24,0.1,32163 
52993,24,0.1,69551
13305,36,0.08,57155 
54637,24,0.1,45308 
36666,48,0.12,36494
58163,48,0.08,36326 
26972,48,0.08,88562 
22741,36,0.08,3976
89792,60,0.1,69512 
47208,24,0.08,93100 
35437,60,0.1,65113

