amount,duration,rate,downpayment 71274,36,0.07,77304 69239,48,0.11,55866
91547,48,0.07,53344 69726,72,0.11,79039 47209,24,0.14,56685
21084,36,0.11,53530 62583,36,0.11,66070 39307,48,0.14,18521
44474,72,0.07,75020 91664,72,0.09,75280 42450,72,0.07,69519
77008,36,0.09,14775 36098,24,0.14,42468 40184,48,0.07,12385
34032,48,0.07,72373 45845,24,0.09,7200 29383,24,0.14,35410
34551,36,0.11,53262 34163,36,0.07,43718 37886,24,0.09,61536
32803,72,0.07,55037 41298,24,0.07,29325 72484,36,0.11,64389
78091,18,0.09,73070 57742,36,0.09,5300 36328,24,0.09,26903
80191,24,0.09,37882 84472,36,0.11,5477 47797,48,0.14,75157
74782,18,0.09,31491 90534,18,0.14,74541 59312,48,0.14,71265
58491,72,0.09,9330 44581,48,0.14,21316 91354,72,0.14,57858
26640,36,0.11,8963 70029,24,0.09,64145 52622,24,0.09,45575
89152,24,0.14,34622 73424,36,0.11,74149 42760,18,0.11,45044
66374,72,0.11,71939 59915,24,0.14,16710 37749,24,0.14,28048
68178,24,0.14,39540 47166,18,0.11,34367 41482,48,0.11,37044
76576,48,0.07,10824 88452,72,0.11,18058 75438,36,0.09,60767
79412,72,0.14,6780 63635,36,0.14,20138 23512,72,0.09,74468
87526,72,0.11,54341 57206,36,0.11,70521 25470,24,0.11,74018
46875,24,0.09,30694 88246,36,0.07,29507 38775,24,0.14,23574
42191,24,0.07,52975 42568,36,0.14,74868 25490,18,0.11,40635
98765,36,0.11,22418 28141,24,0.07,38410 53621,36,0.07,63761
29839,24,0.09,61356 80581,72,0.11,16004 94394,72,0.11,44570
22313,72,0.09,32304 87310,24,0.14,66912 77731,48,0.11,19834
97115,48,0.09,23942 29577,36,0.09,29289 24442,18,0.11,76621
98143,48,0.11,30848 47061,72,0.14,22385 34893,24,0.14,46192
94758,36,0.11,48556 79437,72,0.09,56641 39019,18,0.14,59437
69090,72,0.09,71404 97768,36,0.09,49945 78244,18,0.07,42659
28532,24,0.14,8120 23579,48,0.14,73146 35406,24,0.14,46961
81076,36,0.14,44230 81676,48,0.09,31630 34469,48,0.14,26002
24957,48,0.14,9144 39410,18,0.14,19859 24355,18,0.09,56475
62619,24,0.09,9329 66689,48,0.14,13642 40393,72,0.09,26021
71744,48,0.07,61976 73764,24,0.09,41984 74015,18,0.14,45160
70249,24,0.07,79945 88931,72,0.11,45655
